"","playerId","nameFull","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"1",20000188,"Darnell Alford","OG",76,325,22.8602739726027,5.58,25,23,4.98,94,8.48,6,188
"2",20000125,"Reggie Austin","DB",69,185,23.2465753424658,4.46,35,17,4.14,119,7.03,4,125
"3",20000247,"Mark Baniewicz","OT",78,304,23.0767123287671,5.36,28,20,4.73,96,7.72,7,247
"4",20000225,"Rashidi Barnes","DB",71,205,21.8191780821918,4.63,35,10,4.32,114,6.92,7,225
"5",20000102,"David Barrett","DB",70,195,22.3287671232877,4.48,37.5,16,4.04,116,6.81,4,102
"6",20000043,"Rogers Beckett","S",74,207,23.2191780821918,4.64,39.5,15,4.29,119,6.48,2,43
"7",20000206,"Brad Bedell","OT",76,306,23.186301369863,5.12,31.5,17,4.58,103,7.76,6,206
"8",20000116,"Marcus Bell","LB",73,236,22.7561643835616,4.8,31.5,21,4.33,111,7.17,4,116
"9",20000056,"Michael Boireau","DE",76,276,21.7424657534247,5.12,29,26,4.49,105,7.68,2,56
"10",20000198,"Matt Bowen","S",73,203,23.4383561643836,4.51,33,12,4.09,115,7.06,6,198
"11",20000039,"Mike Brown","S",70,207,22.1835616438356,4.6,36,14,4.01,116,6.93,2,39
"12",20000140,"Ralph Brown","DB",70,185,21.5945205479452,4.6,36,14,4.01,116,6.93,5,140
"13",20000112,"Cooper Carlisle","OG",77,310,22.6931506849315,5.2,31,28,4.48,100,7.82,4,112
"14",20000113,"Leonardo Carson","DT",74,305,23.1890410958904,5.06,28,22,4.75,106,7.82,4,113
"15",20000118,"Tyrone Carter","S",69,195,24.0575342465753,4.53,41,16,4.19,121,6.75,4,118
"16",20000088,"Doug Chapman","RB",70,213,22.6630136986301,4.59,38.5,16,4.2,128,6.84,3,88
"17",20000123,"Joey Chustz","OT",79,305,23.2547945205479,5.12,31,28,4.65,103,7.65,4,123
"18",20000072,"Kendrick Clancy","DT",73,305,21.6767123287671,5.28,27.5,25,4.65,108,7.98,3,72
"19",20000037,"Travis Claridge","OG",77,300,22.0794520547945,5.18,31.5,29,4.86,100,7.77,2,37
"20",20000044,"Chad Clifton","OT",77,320,23.8191780821918,5.12,30.5,24,4.73,102,7.58,2,44
"23",20000081,"Reuben Droughns","RB",71,220,21.6657534246575,4.68,30,13,4.41,115,7.34,3,81
"24",20000180,"Mario Edwards","DB",72,199,24.3890410958904,4.46,32.5,32,4.55,120,7.44,6,180
"25",20000035,"John Engelberger","DE",76,260,23.5068493150685,4.74,34,24,4.28,115,6.95,2,35
