"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"1",20000125,"DB",69,185,23.2465753424658,4.46,35,17,4.14,119,7.03,4,125
"2",20000225,"DB",71,205,21.8191780821918,4.63,35,10,4.32,114,6.92,7,225
"3",20000102,"DB",70,195,22.3287671232877,4.48,37.5,16,4.04,116,6.81,4,102
"4",20000043,"S",74,207,23.2191780821918,4.64,39.5,15,4.29,119,6.48,2,43
"5",20000198,"S",73,203,23.4383561643836,4.51,33,12,4.09,115,7.06,6,198
"6",20000039,"S",70,207,22.1835616438356,4.6,36,14,4.01,116,6.93,2,39
"7",20000140,"DB",70,185,21.5945205479452,4.6,36,14,4.01,116,6.93,5,140
"8",20000118,"S",69,195,24.0575342465753,4.53,41,16,4.19,121,6.75,4,118
"9",20000180,"DB",72,199,24.3890410958904,4.46,32.5,32,4.55,120,7.44,6,180
"10",20000152,"S",73,210,23.4821917808219,4.58,35.5,14,4.38,124,6.91,5,152
"11",20000187,"DB",69,194,22.8958904109589,4.37,39,16,4.01,121,6.75,6,187
"12",20000064,"DB",70,190,22.8328767123288,4.57,37.5,16,4.25,119,7.12,3,64
"13",20000084,"DB",69,185,21.5972602739726,4.56,36,17,3.95,116,6.63,3,84
"14",20000045,"S",73,215,22.4301369863014,4.71,33.5,8,4.38,113,7.08,2,45
"15",20000130,"DB",70,185,23.3643835616438,4.49,35.5,20,4,117,6.73,5,130
"16",20000236,"DB",73,208,23.2931506849315,4.63,35,17,4.21,115,6.81,7,236
"17",20000077,"DB",70,195,22.6383561643836,4.62,37,16,4,126,6.66,3,77
"18",20000179,"DB",71,193,23.5479452054795,4.55,34,11,4.24,116,7.45,6,179
"19",20000058,"S",73,205,22.5342465753425,4.6,37.5,15,4.29,123,6.95,2,58
"20",20000211,"DB",71,193,21.5506849315069,4.55,36.5,14,4.16,121,7.09,7,211
"21",20000048,"DB",69,187,22.6164383561644,4.46,35.5,17,3.98,122,6.76,2,48
"22",20000203,"DB",68,167,22.6301369863014,4.56,35,11,4.27,115,7.21,6,203
"23",20010022,"DB",70,195,22.7260273972603,4.44,39.5,14,3.9,121,6.78,1,22
"24",20010037,"S",74,198,22.386301369863,4.55,40,22,4.2,126,7.14,2,37
"25",20010210,"S",71,216,22.9369863013699,4.47,37,17,4.28,121,7.03,7,210
"26",20010145,"DB",70,185,22.4109589041096,4.57,36,11,4.4,121,7.22,5,145
"27",20010244,"S",71,215,22.5013698630137,4.59,34,21,4.18,106,7.14,7,244
"28",20010228,"DB",72,185,22.158904109589,4.45,35,8,4.07,120,6.96,7,228
"29",20010127,"S",70,188,22.7561643835616,4.43,36,18,4.21,114,7.2,4,127
"30",20010101,"DB",74,202,22.3178082191781,4.48,40.5,10,4.12,125,6.9,4,101
"31",20010097,"DB",73,207,24.4794520547945,4.57,41,15,4.2,126,6.9,4,97
"32",20010202,"S",71,205,22.4547945205479,4.59,35.5,10,4.18,116,7.07,7,202
"33",20010179,"DB",71,191,23.2739726027397,4.58,42,6,3.85,129,7.09,6,179
"34",20010117,"S",72,210,22.9972602739726,4.6,37,14,4.12,121,6.87,4,117
"35",20010165,"DB",71,205,21.786301369863,4.48,34.5,9,4.2,118,7.13,6,165
"36",20010069,"DB",70,197,24.2794520547945,4.47,36,15,4.18,120,7.24,3,69
"37",20010233,"S",71,204,24.1123287671233,4.6,38,10,4.1,117,7.36,7,233
"38",20010200,"DB",70,198,22.3561643835616,4.57,37,13,4.16,120,7.21,6,200
"39",20010086,"DB",70,185,21.7095890410959,4.46,42.5,11,4.21,130,6.7,3,86
"40",20020115,"DB",73,195,23.5671232876712,4.37,34.5,15,4.3,121,7.12,4,115
"41",20020120,"DB",75,211,21.5397260273973,4.56,36,18,4.1,129,6.93,4,120
"42",20020059,"DB",70,200,23.1041095890411,4.46,36.5,15,4.24,118,7,2,59
"43",20020127,"DB",74,212,21.7424657534247,4.54,37.5,24,3.88,123,6.75,4,127
"44",20020173,"DB",70,182,22.8684931506849,4.56,36.5,3,3.92,118,6.64,6,173
"45",20020212,"DB",69,177,23.3561643835616,4.57,37,11,4.29,114,7.18,7,212
