"","combineId","playerId","combineYear","combinePosition","combineHeight","combineWeight","nameFirst","nameLast","nameFull","position","collegeId","nflId","college","heightInches","weight","dob","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone"
"1",14345,20000188,2000,"OT",76,334,"Darnell","Alford","Darnell Alford","OG",2459,"2504288","Boston",76,325,"1977-06-11",22.8602739726027,5.58,25,23,4.98,94,8.48
"5",14349,20000125,2000,"CB",69.4,175,"Reggie","Austin","Reggie Austin","DB",27106,"2504118","Wake Forest",69,185,"1977-01-21",23.2465753424658,4.46,35,17,4.14,119,7.03
"6",14350,20000247,2000,"OT",77.9,312,"Mark","Baniewicz","Mark Baniewicz","OT",13244,"2504148","Syracuse",78,304,"1977-03-24",23.0767123287671,5.36,28,20,4.73,96,7.72
"7",14351,20000225,2000,"FS",71.6,208,"Rashidi","Barnes","Rashidi Barnes","DB",80309,"2504179","Colorado",71,205,"1978-06-26",21.8191780821918,4.63,35,10,4.32,114,6.92
"8",14352,20000102,2000,"CB",69.9,199,"David","Barrett","David Barrett","DB",72701,"2504111","Arkansas",70,195,"1977-12-22",22.3287671232877,4.48,37.5,16,4.04,116,6.81
"13",14357,20000043,2000,"FS",73.5,207,"Rogers","Beckett","Rogers Beckett","S",25755,"2504306","Marshall",74,207,"1977-01-31",23.2191780821918,4.64,39.5,15,4.29,119,6.48
"14",14358,20000206,2000,"OG",76.4,302,"Brad","Bedell","Brad Bedell","OT",80309,"2504178","Colorado",76,306,"1977-02-12",23.186301369863,5.12,31.5,17,4.58,103,7.76
"15",14359,20000116,2000,"ILB",73.6,237,"Marcus","Bell","Marcus Bell","LB",85721,"2504114","Arizona",73,236,"1977-07-19",22.7561643835616,4.8,31.5,21,4.33,111,7.17
"16",14360,20000056,2000,"DE",76.1,274,"Michael","Boireau","Michael Boireau","DE",33124,"2504312","Miami (FL)",76,276,"1978-07-24",21.7424657534247,5.12,29,26,4.49,105,7.68
"17",14361,20000198,2000,"SS",73.1,201,"Matt","Bowen","Matt Bowen","S",52242,"2504195","Iowa",73,203,"1976-11-12",23.4383561643836,4.51,33,12,4.09,115,7.06
"22",14366,20000039,2000,"SS",69.9,204,"Mike","Brown","Mike Brown","S",68588,"2504304","Nebraska",70,207,"1978-02-13",22.1835616438356,4.6,36,14,4.01,116,6.93
"23",14367,20000140,2000,"CB",69.9,204,"Ralph","Brown","Ralph Brown","DB",68588,"2504228","Nebraska",70,185,"1978-09-16",21.5945205479452,4.6,36,14,4.01,116,6.93
"32",14376,20000112,2000,"OG",77.4,297,"Cooper","Carlisle","Cooper Carlisle","OG",32611,"2504245","Florida",77,310,"1977-08-11",22.6931506849315,5.2,31,28,4.48,100,7.82
"34",14378,20000113,2000,"DE",73.5,283,"Leonardo","Carson","Leonardo Carson","DT",36849,"2504282","Auburn",74,305,"1977-02-11",23.1890410958904,5.06,28,22,4.75,106,7.82
"35",14379,20000118,2000,"SS",67.6,190,"Tyrone","Carter","Tyrone Carter","S",55455,"2504163","Minnesota",69,195,"1976-03-31",24.0575342465753,4.53,41,16,4.19,121,6.75
"37",14381,20000088,2000,"RB",70,215,"Doug","Chapman","Doug Chapman","RB",25755,"2504317","Marshall",70,213,"1977-08-22",22.6630136986301,4.59,38.5,16,4.2,128,6.84
"40",14384,20000123,2000,"OT",78.6,304,"Joey","Chustz","Joey Chustz","OT",71272,"2503905","Louisiana Tech",79,305,"1977-01-18",23.2547945205479,5.12,31,28,4.65,103,7.65
"41",14385,20000072,2000,"DT",72.9,283,"Kendrick","Clancy","Kendrick Clancy","DT",38677,"2504243","Mississippi",73,305,"1978-08-17",21.6767123287671,5.28,27.5,25,4.65,108,7.98
"42",14386,20000037,2000,"OG",77.1,303,"Travis","Claridge","Travis Claridge","OG",90089,"2503899","USC",77,300,"1978-03-23",22.0794520547945,5.18,31.5,29,4.86,100,7.77
"44",14388,20000044,2000,"OT",77.3,334,"Chad","Clifton","Chad Clifton","OT",37998,"2504307","Tennessee",77,320,"1976-06-26",23.8191780821918,5.12,30.5,24,4.73,102,7.58
"57",14401,20000427,2000,"TE",78.9,268,"Joe Dean","Davenport","Joe Dean Davenport","TE",72701,"2503951","Arkansas",78,268,"1976-10-29",23.4767123287671,5.15,30,13,4.67,108,7.33
"60",14404,20000491,2000,"DT",74.9,314,"Jerry","DeLoach","Jerry DeLoach","DT",94720,"2504038","California",74,335,"1977-07-17",22.7616438356164,5.01,31.5,19,4.57,101,7.4
"62",14406,20000081,2000,"RB",71.3,215,"Reuben","Droughns","Reuben Droughns","RB",97403,"2504225","Oregon",71,220,"1978-08-21",21.6657534246575,4.68,30,13,4.41,115,7.34
"65",14409,20000180,2000,"CB",72.1,191,"Mario","Edwards","Mario Edwards","DB",32306,"2504235","Florida State",72,199,"1975-12-01",24.3890410958904,4.46,32.5,32,4.55,120,7.44
"66",14410,20000035,2000,"DE",76.3,260,"John","Engelberger","John Engelberger","DE",24061,"2504262","Virginia Tech",76,260,"1976-10-18",23.5068493150685,4.74,34,24,4.28,115,6.95
"70",14414,20000492,2000,"TE",76.4,249,"Zeron","Flemister","Zeron Flemister","TE",52242,"2504039","Iowa",76,250,"1976-09-08",23.6164383561644,4.74,37,14,4.16,116,6.92
"71",14415,20000026,2000,"DE",76.3,271,"Erik","Flowers","Erik Flowers","DE",85287,"2504302","Arizona State",76,273,"1978-03-01",22.1397260273973,4.78,33,24,4.15,114,7.21
"74",14418,20000178,2000,"DE",75.8,280,"John","Frank","John Frank","DE",84112,"2514348","Utah",76,280,"1974-07-01",25.8082191780822,4.81,37,32,4.27,117,7.07
"76",14420,20000152,2000,"FS",72.4,188,"Arturo","Freeman","Arturo Freeman","S",29208,"2504175","South Carolina",73,210,"1976-10-27",23.4821917808219,4.58,35.5,14,4.38,124,6.91
"77",14421,20000093,2000,"DE",76.4,281,"Byron","Frisch","Byron Frisch","DE",84602,"2504276","BYU",77,272,"1976-12-17",23.3424657534247,4.77,34.5,31,4.41,114,7.2
"79",14423,20000227,2000,"FB",75.4,253,"Mondriel","Fulcher","Mondriel Fulcher","TE",33124,"2504180","Miami (FL)",75,250,"1976-10-15",23.5150684931507,4.89,27,18,4.52,116,7.46
"80",14424,20000482,2000,"FS",69.3,186,"Trent","Gamble","Trent Gamble","S",82071,"2504025","Wyoming",69,195,"1977-07-24",22.7424657534247,4.58,37,21,3.9,124,6.6
"81",14425,20000204,2000,"TE",75,249,"Jason","Gavadza","Jason Gavadza","TE",44242,"2504249","Kent State (OH)",75,245,"1976-01-31",24.2219178082192,4.62,32.5,22,4.3,113,7.15
"83",14427,20000149,2000,"OLB",76,243,"Kabeer","Gbaja-Biamila","Kabeer Gbaja-Biamila","DE",92115,"2504232","San Diego State",76,249,"1977-09-24",22.572602739726,4.65,34,21,4.28,120,6.9
