"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"1",20000056,"DE",76,276,21.7424657534247,5.12,29,26,4.49,105,7.68,2,56
"2",20000113,"DT",74,305,23.1890410958904,5.06,28,22,4.75,106,7.82,4,113
"3",20000072,"DT",73,305,21.6767123287671,5.28,27.5,25,4.65,108,7.98,3,72
"4",20000035,"DE",76,260,23.5068493150685,4.74,34,24,4.28,115,6.95,2,35
"5",20000026,"DE",76,273,22.1397260273973,4.78,33,24,4.15,114,7.21,1,26
"6",20000178,"DE",76,280,25.8082191780822,4.81,37,32,4.27,117,7.07,6,178
"7",20000093,"DE",77,272,23.3424657534247,4.77,34.5,31,4.41,114,7.2,3,93
"8",20000149,"DE",76,249,22.572602739726,4.65,34,21,4.28,120,6.9,5,149
"9",20000167,"DT",77,312,23.9287671232877,5.33,29.5,24,5.03,98,8,6,167
"10",20000042,"DT",76,303,23.3808219178082,4.91,31,30,4.62,111,7.63,2,42
"11",20000025,"DT",74,296,21.9424657534247,5,30,35,4.16,101,6.85,1,25
"12",20000176,"DE",77,300,22.0082191780822,5.14,31.5,19,4.72,105,7.69,6,176
"13",20000194,"DT",76,300,25.0520547945205,5.12,30,45,4.37,110,7.46,6,194
"14",20000120,"DT",75,294,21.8657534246575,5.1,27.5,22,4.61,102,7.73,4,120
"15",20000241,"DE",77,315,22.6438356164384,5,30.5,27,4.52,113,7.49,7,241
"16",20000181,"DE",76,283,22.6520547945205,5.13,30,18,4.68,101,7.91,6,181
"17",20000055,"DT",76,322,23.0712328767123,5.13,29.5,25,4.72,94,7.72,2,55
"18",20000218,"DE",74,316,24.0931506849315,5.15,28.5,24,4.6,102,7.78,7,218
"19",20000136,"DT",78,341,23.3561643835616,5.29,28.5,19,4.6,99,7.72,5,136
"20",20000074,"DT",73,302,22.2438356164384,5.14,30.5,29,4.56,105,7.97,3,74
"21",20000139,"DT",74,298,22.786301369863,4.96,29.5,27,4.47,106,7.2,5,139
"22",20010107,"DE",76,246,22.6849315068493,4.82,34.5,26,4.28,110,7.32,4,107
"23",20010034,"DE",76,278,22.441095890411,4.66,36.5,26,4.08,119,6.82,2,34
"24",20010184,"DT",77,285,24.1616438356164,4.96,35.5,24,4.21,114,7.12,6,184
"25",20010221,"DT",76,302,23.4,5.1,27.5,23,4.87,99,7.98,7,221
"26",20010087,"DE",77,275,22.1205479452055,4.9,41,21,4.43,127,7.43,3,87
"27",20010191,"DT",74,285,22.7917808219178,4.9,34.5,19,4.43,111,7.54,6,191
"28",20010044,"DT",76,360,21.7315068493151,5.18,31,33,4.4,108,7.85,2,44
"29",20010230,"DT",75,289,22.9616438356164,4.87,34.5,25,4.36,111,7.32,7,230
"30",20010231,"DE",77,260,22.3424657534247,5.03,38,21,4.4,116,7.5,7,231
"31",20010114,"DE",77,290,23.5205479452055,4.82,35.5,23,4.37,107,7.67,4,114
"32",20010013,"DT",78,310,22.8383561643836,5.13,30,21,4.72,110,8.07,1,13
"33",20010234,"DE",76,258,22.6383561643836,4.88,33,28,4.4,111,7.65,7,234
"34",20010130,"DT",72,316,25.4027397260274,5.18,30,23,4.61,103,7.5,4,130
"35",20010183,"DT",75,290,22.041095890411,4.97,28,21,4.47,103,7.71,6,183
"36",20020180,"DT",75,308,23.0246575342466,5.24,26.5,24,4.64,90,7.47,6,180
"37",20020139,"DT",75,312,23.0219178082192,5.02,29,24,4.24,97,7.31,5,139
"38",20020218,"DT",77,302,23.4493150684931,5.17,31.5,27,4.57,99,7.75,7,218
"39",20020146,"DT",75,301,23.0191780821918,4.96,33,30,4.41,108,7.43,5,146
"40",20020238,"DE",76,274,23.8767123287671,4.93,34,25,4.23,109,7.09,7,238
"41",20020096,"DT",77,305,23.2520547945205,5.03,31,30,4.67,109,7.93,3,96
"42",20020061,"DE",79,264,24.8630136986301,4.86,33,36,4.25,107,7.18,2,61
"43",20020113,"DT",75,316,23.5698630136986,5.1,31,27,4.41,103,7.56,4,113
"44",20020043,"DT",77,315,24.3068493150685,4.93,34.5,32,4.81,109,7.85,2,43
"45",20020025,"DE",75,285,23.6438356164384,4.69,31,24,4.39,113,7.69,1,25
"46",20020240,"DE",76,259,23.2739726027397,4.68,40,20,4.19,125,6.97,7,240
"47",20020009,"DT",79,335,23.2931506849315,4.87,27.5,24,4.66,106,7.71,1,9
"48",20020083,"DT",74,293,21.4794520547945,5.08,33.5,23,4.36,111,7.37,3,83
"49",20020098,"DE",77,276,22.3917808219178,4.84,35.5,17,4.36,113,7.21,3,98
"50",20020242,"DE",77,285,23.6,4.93,33.5,26,4.51,106,7.28,7,242
"51",20020224,"DE",76,269,23.7643835616438,4.59,31.5,25,4.51,99,7.38,7,224
"52",20020060,"DE",76,297,23.4328767123288,4.82,33.5,24,4.27,113,7.46,2,60
"53",20020234,"DE",76,293,22.5643835616438,4.92,32.5,26,4.61,110,7.5,7,234
"54",20020172,"DT",75,305,22.6328767123288,5.08,37.5,22,4.12,130,7.01,5,172
"55",20020193,"DE",76,265,23.6547945205479,4.97,36.5,24,4.22,110,7.35,6,193
"56",20020052,"DE",75,274,21.7424657534247,4.96,32.5,24,4.31,108,7.37,2,52
"57",20030032,"DE",78,280,23.4465753424658,4.78,34,25,4.24,116,7.13,1,32
"58",20030176,"DE",75,264,22.6520547945205,4.78,32,19,4.32,105,7.23,6,176
"59",20030194,"DE",74,265,22.8657534246575,4.84,30,24,4.48,106,7.68,6,194
"60",20030109,"DE",75,260,21.7123287671233,5.09,28.5,21,4.52,107,7.72,4,109
"61",20030141,"DT",76,284,22.0219178082192,4.95,35,25,4.28,114,7.5,5,141
"62",20030117,"DT",71,275,22.2986301369863,4.91,33.5,26,4.4,111,7.51,4,117
"63",20030147,"DT",77,325,23.1369863013699,4.96,30,23,4.69,106,7.77,5,147
"64",20030227,"DE",79,270,22.6082191780822,4.93,34.5,16,4.31,115,7.34,7,227
"65",20030174,"DT",73,305,21.7890410958904,5.05,32,29,4.21,104,7.63,6,174
"66",20030145,"DT",74,299,24.5479452054795,5,32,22,4.51,104,7.71,5,145
"67",20030116,"DT",75,315,21.4767123287671,5.16,28.5,28,5,99,8.12,4,116
"68",20030064,"DE",74,273,23.5342465753425,4.78,33,22,4.22,112,7.22,2,64
"69",20030189,"DE",74,270,22.3205479452055,4.86,34.5,29,4.38,114,7.44,6,189
"70",20030089,"DE",74,280,24.0383561643836,4.69,32,29,4.44,113,7.53,3,89
"71",20030009,"DE",77,311,22.7068493150685,4.84,30,23,5.01,112,7.66,1,9
"72",20040126,"DE",78,270,22.0739726027397,4.76,33,13,4.34,120,7.11,4,126
"73",20040114,"DT",77,302,21.8301369863014,5.24,27,20,4.42,101,7.55,4,114
"74",20040204,"DT",75,303,22.8986301369863,5.14,30,33,4.38,109,7.44,7,204
"75",20040051,"DT",75,305,22.9561643835616,5.14,28,25,4.68,105,7.59,2,51
"76",20040147,"DE",75,271,23.0602739726027,4.71,30.5,25,4.25,118,7.44,5,147
"77",20040253,"DE",75,267,23.172602739726,4.6,36.5,31,4.48,123,7.99,7,253
"78",20040047,"DT",75,315,22.3945205479452,4.74,34,31,4.6,114,7.56,2,47
"79",20040234,"DE",77,260,23.172602739726,4.81,35.5,23,4.08,110,7.06,7,234
"80",20040042,"DE",75,250,22.6931506849315,4.71,35.5,35,4.07,126,7.01,2,42
"81",20040057,"DE",77,275,22.5972602739726,4.74,37,21,4.44,114,7.3,2,57
"82",20040035,"DE",77,315,21.9917808219178,5.01,33.5,41,4.41,110,7.61,2,35
"83",20040103,"DE",77,264,23.1013698630137,4.82,32.5,25,4.38,109,6.94,4,103
"84",20040036,"DT",77,315,25.4602739726027,5.18,24.5,31,4.84,93,7.93,2,36
"85",20040104,"DT",74,330,22.6520547945205,5,30.5,42,4.66,99,7.79,4,104
"86",20040189,"DT",74,296,23.841095890411,5.23,26.5,28,4.1,100,7.39,6,189
"87",20040097,"DE",74,258,23.2602739726027,4.7,34,16,4.46,120,7.48,4,97
"88",20040072,"DT",78,330,23.227397260274,5.03,31,34,4.88,109,7.8,3,72
"89",20050059,"DT",74,300,23.5452054794521,4.9,29.5,21,4.57,109,7.7,2,59
"90",20050178,"DT",75,360,23.4767123287671,5.1,31.5,23,4.68,106,7.8,6,178
"91",20050092,"DE",74,260,23.8547945205479,4.9,35,25,4.41,119,7.24,3,92
"92",20050128,"DE",74,271,22.2520547945205,4.84,37,22,4.44,117,7.66,4,128
"93",20050089,"DT",75,315,23.5808219178082,5.1,27.5,25,4.79,99,8,3,89
"94",20050175,"DT",75,310,23.4520547945205,5.25,27,21,4.69,98,8,6,175
"95",20050189,"DE",74,277,22.8547945205479,4.77,34,33,4.35,110,7.38,6,189
"96",20050199,"DE",76,257,22.9342465753425,4.76,38.5,27,4.07,121,7.22,6,199
"97",20050180,"DT",77,282,21.6958904109589,5.08,34.5,19,4.32,115,7.38,6,180
"98",20050186,"DE",76,268,24.1643835616438,4.85,29.5,22,4.5,105,7.62,6,186
"99",20050191,"DT",74,310,21.7287671232877,5.08,27.5,27,4.65,100,8.21,6,191
"100",20050088,"DT",75,325,26.2356164383562,5.02,32.5,32,4.49,107,7.84,3,88
"101",20050046,"DE",76,275,22.5397260273973,4.83,32,26,4.36,110,7.65,2,46
"102",20050241,"DT",74,301,22.1150684931507,4.9,34,25,4.31,114,7.54,7,241
"103",20050184,"DE",76,265,22.6493150684932,5.03,34,23,4.24,113,7.35,6,184
"104",20050232,"DE",75,280,23.4821917808219,5.05,29.5,18,4.53,105,7.89,7,232
"105",20050148,"DE",76,235,22.8876712328767,4.61,40.5,19,4.22,128,7.83,5,148
"106",20060220,"DT",76,305,23.2657534246575,5.12,30.5,15,4.54,103,7.49,7,220
"107",20060113,"DE",76,284,23.227397260274,4.88,32,22,4.41,112,7.37,4,113
"108",20060159,"DE",76,255,22.9424657534247,4.65,42,20,4.22,127,6.95,5,159
"109",20060241,"DE",75,254,23.0849315068493,4.72,33.5,19,4.52,115,7.48,7,241
"110",20060124,"DT",76,303,22.1260273972603,5,34,35,4.35,105,7.43,4,124
"111",20060073,"DT",75,303,23.172602739726,5.07,34,31,4.35,110,7.62,3,73
"112",20060127,"DE",77,268,21.3369863013699,4.82,39,30,4.57,114,7.71,4,127
"113",20060196,"DT",76,330,22.9315068493151,4.94,33,31,4.45,111,7.6,6,196
"114",20060092,"DE",78,299,23.8109589041096,4.91,35.5,28,4.49,113,7.67,3,92
"115",20060156,"DE",75,277,22.5260273972603,5.09,34.5,25,4.23,110,7.11,5,156
"116",20060032,"DE",77,267,23.158904109589,4.74,32,17,4.13,120,7.27,1,32
"117",20060177,"DT",72,305,21.8109589041096,4.99,33.5,24,4.4,111,7.4,6,177
"118",20060026,"DT",74,307,22.7095890410959,5.19,30.5,25,4.48,110,7.79,1,26
"119",20060237,"DE",74,260,21.3808219178082,4.72,39,19,4.5,114,7.87,7,237
"120",20060191,"DE",76,280,22.3890410958904,4.78,33.5,27,4.25,116,6.99,6,191
"121",20060012,"DT",76,345,22.2849315068493,5.18,31.5,37,4.65,110,7.95,1,12
"122",20060135,"DE",74,260,22.2547945205479,4.93,34.5,23,4.18,116,6.96,5,135
"123",20060181,"DT",73,325,23.3041095890411,5.32,32,33,4.54,105,7.87,6,181
"124",20060123,"DT",75,325,21.4328767123288,5.28,28.5,25,4.49,103,7.69,4,123
"125",20060206,"DT",75,308,23.7890410958904,5.03,30.5,30,4.92,109,7.93,6,206
"126",20060063,"DE",73,270,21.6383561643836,4.86,33,27,4.48,109,7.31,2,63
"127",20060107,"DT",75,333,22.6109589041096,5.29,25,36,4.8,96,8.28,4,107
"128",20060001,"DE",78,300,21.2547945205479,4.75,34,25,4.54,111,7.49,1,1
"129",20060226,"DT",77,300,21.758904109589,5.11,32,31,4.51,110,7.84,7,226
"130",20060213,"DE",77,279,24.0438356164384,4.66,33,27,4.51,116,7.75,7,213
"131",20070062,"DE",75,260,23.7835616438356,4.81,30,25,4.75,109,7.09,2,62
"132",20070013,"DT",78,300,22.9917808219178,4.92,33.5,33,4.18,110,7.06,1,13
"133",20070056,"DE",76,260,21.841095890411,4.72,30.5,32,4.32,111,7.28,2,56
"134",20070016,"DT",76,315,23.2164383561644,5.07,30.5,24,4.79,108,7.63,1,16
"135",20070152,"DT",75,328,22.4,5.19,29,28,4.49,108,7.47,5,152
"136",20070132,"DE",77,305,23.027397260274,5.05,28,27,4.46,108,7.79,4,132
"137",20070054,"DE",74,278,21.9260273972603,4.85,31,27,4.12,108,7.1,2,54
"138",20070085,"DT",73,311,22.2958904109589,5.18,24,24,4.65,106,7.94,3,85
"139",20070065,"DE",77,260,23.4575342465753,4.84,32,17,4.53,115,7.38,3,65
"140",20070102,"DE",75,259,24.0191780821918,4.72,40.5,27,4.26,121,6.89,4,102
"141",20070154,"DT",75,324,23.2054794520548,5.11,26.5,25,4.69,102,7.49,5,154
"142",20070239,"DE",76,265,24.8246575342466,4.73,36.5,26,4.4,108,7.06,7,239
"143",20080092,"DE",75,260,22.0657534246575,4.63,32.5,27,4.51,117,6.9,3,92
"144",20080029,"DE",77,317,21.5452054794521,5.31,29,33,4.82,103,7.65,1,29
"145",20080154,"DE",75,255,22.6356164383562,4.87,31.5,29,4.56,112,7.08,5,154
"146",20080121,"DT",76,323,24.0383561643836,5.06,28,20,4.64,111,7.75,4,121
"147",20080050,"DE",80,300,21.6657534246575,5.11,29.5,16,4.69,111,7.45,2,50
"148",20080007,"DT",73,307,22.813698630137,5.31,26.5,34,4.73,105,7.78,1,7
"149",20080008,"DE",77,268,21.4767123287671,4.89,28.5,31,4.36,113,7.27,1,8
"150",20080181,"DT",76,303,22.2383561643836,5.18,27,34,4.54,108,7.55,6,181
"151",20080116,"DE",76,280,23.2328767123288,5.01,29,26,4.75,109,7.62,4,116
"152",20080028,"DE",76,278,22.6712328767123,4.87,31,31,4.4,108,7.08,1,28
"153",20080054,"DE",77,278,21.9424657534247,4.8,25.5,18,4.32,123,7.29,2,54
"154",20080066,"DE",78,299,22.2602739726027,5.01,27,24,4.69,114,7.72,3,66
"155",20080047,"DT",73,304,22.8821917808219,5.12,30.5,35,4.49,103,7.37,2,47
"156",20080115,"DT",76,305,22.8958904109589,4.93,28,31,4.55,105,7.73,4,115
"157",20080151,"DT",77,350,22.5424657534247,5.36,23,32,4.95,104,8.07,5,151
"158",20080148,"DT",75,312,22.7150684931507,5.13,22.5,23,4.87,108,7.78,5,148
"159",20080190,"DT",74,310,21.7698630136986,5.26,28,35,5,106,8.05,6,190
"160",20080080,"DE",74,250,24.4246575342466,4.76,32.5,17,4.4,120,7.22,3,80
"161",20080102,"DE",76,260,22.5616438356164,4.77,32,25,4.23,117,6.97,4,102
"162",20090018,"DE",75,275,23.6493150684932,4.77,29.5,18,4.51,102,7.56,1,18
"163",20090046,"DE",76,255,22.5424657534247,4.59,40.5,21,4.18,128,6.87,2,46
"164",20090040,"DT",75,330,22.3671232876712,5.48,28,32,4.73,99,8.15,2,40
"165",20090063,"DE",75,252,22.4739726027397,4.76,36.5,26,4.4,120,7.1,2,63
"166",20090043,"DE",73,263,21.7315068493151,4.65,31.5,26,4.53,114,7.55,2,43
"167",20090068,"DT",77,289,22.5835616438356,4.81,35.5,28,4.56,119,7.7,3,68
"168",20090205,"DT",77,300,22.6794520547945,4.99,25.5,28,4.87,106,8.18,6,205
"169",20090115,"DT",76,328,22.4767123287671,5.12,28,27,4.97,109,7.89,4,115
"170",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"171",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"172",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"173",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"174",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"175",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"176",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"177",20090032,"DT",75,305,22.2027397260274,4.83,33,34,4.55,108,7.5,1,32
"178",20090093,"DT",74,295,23.9945205479452,4.96,24.5,24,4.73,97,7.44,3,93
"179",20090070,"DE",79,280,22.227397260274,4.69,38.5,28,4.37,128,7.42,3,70
"180",20090067,"DT",75,298,22.0082191780822,5.03,29.5,30,4.55,103,7.52,3,67
"181",20090011,"DE",76,237,21.0657534246575,4.78,38,22,4.38,124,7.52,1,11
"182",20090081,"DT",74,318,21.8109589041096,4.95,32,36,4.74,103,8.01,3,81
"183",20090117,"DE",78,263,22.5150684931507,4.81,30.5,22,4.47,105,7.4,4,117
"184",20090009,"DT",74,337,22.8054794520548,5.12,32,33,4.69,103,7.9,1,9
"185",20090103,"DT",75,317,23.1287671232877,4.92,30.5,29,4.84,107,8.28,4,103
"186",20090071,"DE",77,285,22.6027397260274,4.86,30.5,24,4.88,112,7.68,3,71
"187",20090125,"DE",75,269,23.2301369863014,4.53,35,28,4.43,120,7.46,4,125
"188",20090199,"DE",76,240,22.8712328767123,4.63,31,22,4.58,113,7.31,6,199
"189",20090136,"DT",72,319,22.9643835616438,5.22,30,37,5.06,104,7.78,4,136
"190",20090052,"DE",74,264,23.3835616438356,4.79,33,35,4.46,110,7.2,2,52
"191",20090182,"DE",75,285,22.6712328767123,5.01,31.5,19,4.58,107,7.4,6,182
"192",20100010,"DT",75,304,22.9616438356164,4.87,35.5,21,4.43,116,7.15,1,10
"193",20100120,"DT",73,300,22.0821917808219,4.75,33,34,4.43,117,7.33,4,120
"194",20100236,"DE",73,244,23.4630136986301,4.62,35,25,4.3,109,7.08,7,236
"195",20100054,"DE",78,280,21.158904109589,4.68,31.5,21,4.61,111,7.21,2,54
"196",20100175,"DE",77,280,21.7479452054795,4.82,35,21,4.65,117,7.25,6,175
"197",20100044,"DE",75,274,22.8438356164384,4.84,33.5,30,4.71,114,7.61,2,44
"198",20100031,"DE",74,254,21.7041095890411,4.65,34.5,26,4.15,118,6.99,1,31
"199",20100046,"DT",76,329,21.5452054794521,5.09,30,39,4.71,100,8.12,2,46
