"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"1",20000116,"LB",73,236,22.7561643835616,4.8,31.5,21,4.33,111,7.17,4,116
"2",20000227,"TE",75,250,23.5150684931507,4.89,27,18,4.52,116,7.46,7,227
"3",20000204,"TE",75,245,24.2219178082192,4.62,32.5,22,4.3,113,7.15,6,204
"4",20000040,"LB",72,223,21.6602739726027,4.58,33,21,4.19,115,6.97,2,40
"5",20000137,"LB",76,243,23.2767123287671,5.01,31.5,20,4.21,109,7.12,5,137
"6",20000087,"TE",77,254,23.7095890410959,4.7,35,22,4.06,118,6.86,3,87
"7",20000028,"LB",74,243,25.2575342465753,4.77,33,18,4.17,113,6.93,1,28
"8",20000251,"LB",74,242,23.1068493150685,4.77,32,18,4.45,111,7.43,7,251
"9",20000215,"LB",75,246,22.0958904109589,4.75,32.5,21,4.38,111,7.33,7,215
"10",20000067,"LB",72,245,23.2602739726027,4.63,36,24,4.09,117,7.08,3,67
"11",20000128,"LB",74,237,23.1698630136986,4.86,34.5,20,4.27,115,7.21,4,128
"12",20000092,"LB",72,233,23.1643835616438,4.91,30,24,4.26,112,7.08,3,92
"13",20000141,"TE",75,245,23.1397260273973,4.85,38,24,4.14,115,6.84,5,141
"14",20000086,"LB",72,240,23.172602739726,4.7,32,24,4.3,109,7.23,3,86
"15",20000009,"LB",76,258,21.9068493150685,4.61,34,27,4.18,122,6.94,1,9
"16",20010141,"TE",76,260,22.2739726027397,4.77,33,22,4.19,106,7.12,5,141
"17",20010039,"LB",73,245,20.8164383561644,4.62,38.5,24,4.5,124,7.25,2,39
"18",20010066,"TE",76,255,23.558904109589,4.75,36,14,4.18,117,7.37,3,66
"19",20010055,"LB",76,241,22.6794520547945,4.66,37.5,23,4.25,118,7.66,2,55
"20",20010157,"LB",73,250,22.1561643835616,4.75,40,24,4.21,119,7.34,5,157
"21",20010188,"LB",75,242,23.9342465753425,5,31.5,19,4.35,109,7.54,6,188
"22",20010035,"TE",74,275,23.3424657534247,4.79,34,22,4.43,112,7.38,2,35
"23",20010205,"TE",76,262,24.0602739726027,5.09,33.5,15,4.59,103,7.95,7,205
"24",20010173,"LB",72,231,21.6849315068493,4.93,36,14,4.31,115,7.16,6,173
"25",20010088,"LB",72,241,22.7780821917808,4.61,33.5,21,4.08,112,7.62,3,88
"26",20010126,"LB",73,240,22.9178082191781,4.86,36.5,18,4.56,114,7.64,4,126
"27",20010119,"TE",74,260,22.3561643835616,4.94,38.5,20,4.4,113,7.14,4,119
"28",20010090,"TE",76,255,22.8876712328767,4.84,34,20,4.15,113,7.14,3,90
"29",20010195,"TE",75,248,23.6520547945205,5.02,32,16,4.31,113,7.4,6,195
"30",20010227,"TE",76,258,23.6054794520548,4.75,34.5,16,4.4,117,7.28,7,227
"31",20010110,"LB",74,242,22.8109589041096,4.73,35.5,33,4.15,110,7.3,4,110
"32",20010102,"LB",75,239,21.6547945205479,4.75,37,23,4.2,117,7.08,4,102
"33",20010073,"LB",72,233,24.1287671232877,4.65,36.5,21,4.21,115,7.47,3,73
"34",20020082,"LB",74,245,22.4547945205479,4.63,38,24,4.21,120,7.59,3,82
"35",20020089,"LB",74,245,22.6054794520548,4.86,35,26,4.12,119,7,3,89
"36",20020101,"LB",72,248,22.3232876712329,4.72,39,23,3.83,113,6.71,4,101
