"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"1",20000088,"RB",70,213,22.6630136986301,4.59,38.5,16,4.2,128,6.84,3,88
"2",20000081,"RB",71,220,21.6657534246575,4.68,30,13,4.41,115,7.34,3,81
"3",20000213,"RB",72,250,23.6328767123288,4.8,28.5,25,4.34,108,7.08,7,213
"4",20000153,"WR",68,187,21.5835616438356,4.46,38,18,3.82,123,6.62,5,153
"5",20000171,"RB",72,197,23.3205479452055,4.54,32,17,4.07,125,6.97,6,171
"6",20000097,"RB",70,222,23.5068493150685,4.41,41.5,23,3.93,131,6.82,4,97
"7",20000156,"RB",72,220,23.0794520547945,4.68,37.5,23,4.21,117,7.05,5,156
"8",20000063,"RB",71,221,23.3671232876712,4.5,37,23,4.4,115,6.92,3,63
"9",20000243,"RB",68,205,22.0520547945205,4.65,35,13,4.14,111,7.14,7,243
"10",20010192,"RB",72,257,23.1123287671233,4.48,34,15,4.16,115,7.34,6,192
"11",20010150,"RB",68,208,21.6767123287671,4.39,35.5,18,4.09,119,7.05,5,150
"12",20010100,"RB",70,225,21.5698630136986,4.57,37.5,24,4.22,119,7.32,4,100
"13",20010038,"RB",74,221,23.4684931506849,4.62,32.5,20,4.44,115,7.48,2,38
"14",20010005,"RB",70,215,21.8438356164384,4.43,40.5,18,4.21,124,6.84,1,5
"15",20020204,"RB",69,205,22.013698630137,4.46,33,19,4.08,112,6.9,6,204
"16",20020056,"RB",71,224,22.6630136986301,4.6,38,23,4.06,115,7.06,2,56
"17",20020257,"RB",68,215,22.3945205479452,4.48,35,30,4.25,113,7.18,7,257
"18",20020107,"RB",74,245,24.4904109589041,4.51,40,21,4.12,122,7.25,4,107
"19",20020034,"RB",72,222,22.2904109589041,4.57,35.5,20,4.16,119,6.82,2,34
"20",20020166,"RB",69,222,23.186301369863,4.78,31.5,25,4.08,117,7.27,5,166
"21",20020241,"RB",73,210,24.3041095890411,4.61,35,26,4.29,105,7.11,7,241
"22",20020199,"RB",70,212,22.8191780821918,4.69,34,14,4.6,117,7.59,6,199
