"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"1",20000188,"OG",76,325,22.8602739726027,5.58,25,23,4.98,94,8.48,6,188
"2",20000247,"OT",78,304,23.0767123287671,5.36,28,20,4.73,96,7.72,7,247
"3",20000206,"OT",76,306,23.186301369863,5.12,31.5,17,4.58,103,7.76,6,206
"4",20000112,"OG",77,310,22.6931506849315,5.2,31,28,4.48,100,7.82,4,112
"5",20000123,"OT",79,305,23.2547945205479,5.12,31,28,4.65,103,7.65,4,123
"6",20000037,"OG",77,300,22.0794520547945,5.18,31.5,29,4.86,100,7.77,2,37
"7",20000044,"OT",77,320,23.8191780821918,5.12,30.5,24,4.73,102,7.58,2,44
"8",20000182,"OG",76,320,23.2712328767123,5.66,25.5,24,5.22,94,8.51,6,182
"9",20000138,"OG",76,310,26.5753424657534,5.6,28,35,4.99,99,8.07,5,138
"10",20000082,"OG",76,320,22.5972602739726,5.53,31,25,4.76,104,7.91,3,82
"11",20000220,"OG",74,303,23.5424657534247,5.49,28,26,4.6,103,7.54,7,220
"12",20000083,"OT",76,320,23.0739726027397,5.35,26,23,4.71,97,7.72,3,83
"13",20000060,"OG",75,292,23.0794520547945,5.13,34,25,4.43,110,7.46,2,60
"14",20000148,"OG",75,300,24.9424657534247,5.4,26,18,4.78,97,7.84,5,148
"15",20000129,"OG",74,318,23.4684931506849,5.47,24.5,34,5.06,94,8.37,4,129
"16",20000104,"OT",75,315,23.3095890410959,5.38,25.5,27,4.74,98,7.82,4,104
"17",20000131,"OG",75,310,22.4794520547945,5.38,26.5,20,4.88,99,7.49,5,131
"18",20000127,"OT",77,322,21.827397260274,5.62,26,22,5.13,95,8.15,4,127
"19",20000237,"OG",77,321,23.1205479452055,5.68,22.5,18,4.81,98,8.48,7,237
"20",20000038,"OT",77,321,21.7068493150685,5.34,27.5,24,4.84,100,7.87,2,38
"21",20000224,"OT",75,320,22.8438356164384,5.43,27,22,4.84,90,7.91,7,224
